SP,EN,Tag,Count
Dieciocho,Eighteen,ch01;numbers,0
Diecinueve,Nineteen,ch01;numbers,0
Veinte,Twenty,ch01;numbers,0
Veintiuno,Twenty-one,ch01;numbers,0
Veintidós,Twenty-two,ch01;numbers,0
Veintitrés,Trenty-three,ch01;numbers,0
Veinticuartro,Twenty-four,ch01;numbers,0
Veinticinco,Twenty-five,ch01;numbers,0
Veintiséis,Twenty-six,ch01;numbers,0
Veintisiete,Twenty-seven,ch01;numbers,0
Veintiocho,Twenty-eight,ch01;numbers,0
Veintinueve,Twenty-nine,ch01;numbers,0
Treinta,Thirty,ch01;numbers,0
Treinta y uno,Thirty-one,ch01;numbers,0
Dos mil,Two thousand,ch01;numbers,0
¿Qué?,What?,ch01;questions,0
¿Dónde?,Where?,ch01;questions,0
¿Cuál?,Which? (singular),ch01;questions,0
¿Cuáles?,Which? (plural),ch01;questions,0
¿Cuándo?,When?,ch01;questions,0
¿Por qué?,Why?,ch01;questions,0
¿Quién?,Who?,ch01;questions,0
¿Como?,How?,ch01;questions,0
¿Cuánt@?,How much?,ch01;questions,0
?Cuánt@s?,How many?,ch01;questions,0
¿Cuál es la fecha de hoy?,What is today's date?,ch01;sentences,0
¿Que dia es hoy?,Whay day is it?,ch01;sentences,0
Es el treinta y uno de enero,It is the 31st of January,ch01;sentences,0
Es el quince de enero,It is the 15th of January,ch01;sentences,0
Es el diecisiete de abril,It is the 17th of April,ch01;sentences,0
Es el dieciséis de junio,It is the 16th of June,ch01;sentences,0
El el trece de septembre,It is the 13th of September,ch01;sentences,0
¿Cuando es tu cumpleaños?,When is your birthday?,ch01;sentences,0
¿Cuántos años tienes?,How old are you?,ch01;sentences,0
¿De dóndo eres?,Where are you from?,ch01;sentences,0
Cumpleaños,Birthday,ch01,0
Hoy,Today,ch01,0
La fecha,The date,ch01;object,0
Hoy es lunes,Today is Monday,ch01;sentences,0
Hoy es martes,Today is Tuesday,ch01;sentences,0
Hoy es miércoles,Today is Wednesday,ch01;sentences,0
Hoy es jueves,Today is Thursday,ch01;sentences,0
Hoy es viernes,Today is Friday,ch01;sentences,0
Hoy es sábado,Today is Saturday,ch01;sentences,0
Hoy es domingo,Today is Sunday,ch01;sentences,0
Ayudar en casa,To help around the house,ch02;activities;verb;inf,0
Cocinar,To cook,ch02;activities;verb;inf;regverb,0
Dibujar,To draw,ch02;activities;verb;inf;regverb,0
Escuchar música,To listen to music,ch02;activities;verb;inf,0
Estar con amigos,To be with friends,ch02;activities;verb;inf,0
Escribir,To write,ch02;activities;verb;inf;regverb,0
Estudiar,To study,ch02;activities;verb;inf;regverb,0
Hablar,To talk,ch02;activities;verb;inf;regverb,0
Hacer,To do,ch02;activities;verb;inf;regverb,0
Ir a la escuela,To go to school,ch02;activities;verb;inf,0
Ir al cine,To go to the movies,ch02;activities;verb;inf,0
Leer,To read,ch02;activities;verb;inf;regverb,0
Nadar,To swim,ch02;activities;verb;inf;regverb,0
Patinar,To skate,ch02;activities;verb;inf;regverb,0
Pintar,To paint,ch02;activities;verb;inf;regverb,0
Practica deportes,To play sports,ch02;activities;verb;inf,0
Trabajar,To work,ch02;activities;verb;inf,0
Tocar la guitarra,To play the guitar,ch02;activities;verb;inf,0
Ver la televisión,To watch TV,ch02;activities;verb;inf,0
Amable,Kind,ch02;personalityTraits,0
Artístic@,Artistic,ch02;personalityTraits,0
Atrevid@,Daring,ch02;personalityTraits,0
Callado@,Quiet,ch02;personalityTraits,0
Deportista,Sporty?,ch02;personalityTraits,0
Desordenad@,Unorganized,ch02;personalityTraits,0
Generos@,Generous,ch02;personalityTraits,0
Gracios@,Funny,ch02;personalityTraits,0
Impaciente,Impatient,ch02;personalityTraits,0
Ordenad@,Organized,ch02;personalityTraits,0
Paciente,Patient,ch02;personalityTraits,0
Perezos@,Lazy,ch02;personalityTraits,0
Prudente,Cautious,ch02;personalityTraits,0
Seri@,Serious,ch02;personalityTraits,0
Sociable,Sociable,ch02;personalityTraits,0
Tacañ@,Cheap/Stingy,ch02;personalityTraits,0
Trabajador@,Hard working,ch02;personalityTraits,0
¿De veras?,Really?,ch02;verify,0
¿En serio?,Seriously?,ch02;verify,0
(A mí) me gusta,I like,ch02;like,0
Me gusta más,I like more,ch02;like,0
Me gusta mucho,I like mucho,ch02;like,0
A mí también,I like it too,ch02;like,1
(A mí) no me gusta,I don't like,ch02;like,0
No me gusta mucho,I don't like very much,ch02;like,0
No me gusta nada,I don't like at all,ch02;like,0
No me gusta tampoco,I don't like either/neither,ch02;like,0
Sí,Yes,ch02;smallWords,0
No,No,ch02;smallWords,0
Quizá,Maybe,ch02;smallWords,0
Y,And,ch02;smallWords,0
o,Or,ch02;smallWords,0
A veces,Sometimes,ch02;smallWords,0
Muy,Very,ch02;smallWords,0
Pero,But,ch02;smallWords,0
Por eso,That's why/for that,ch02;smallWords,0
Pues,Well/then,ch02;smallWords,0
También,Also,ch02;smallWords,0
Tampoco,Neither/Either,ch02;smallWords,0
¿Qué te gusta hacer?,What do you like to do?,ch02;sentences,0
¿Y a ti?,And you? (as object),ch02;sentences,0
¿Eres?,Are you?,ch02;sentences,0
¿Cómo eres?,What are you like?,ch02;sentences,0
Yo soy,I am (trait),ch02;toBe,0
Tú eres,"you are (singular, trait)",ch02;toBe,0
El es,He is (trait),ch02;toBe,1
Ella es,She is (trait),ch02;toBe,0
Nosotros somos,We are (trait),ch02;toBe,0
Vosotors sois,"You are (plural, trait)",ch02;toBe,0
Ellos son,"They are (masulin, triat)",ch02;toBe,1
Ellas son,"They are (feminin, triat)",ch02;toBe,0
Yo estoy,I am (state),ch02;toBe,0
Tú estás,"you are (singular, state)",ch02;toBe,0
El está,He is (state),ch02;toBe,0
Ella está,She is (state),ch02;toBe,0
Nosotros estamos,We are (state),ch02;toBe,0
Vosotros estáis,"You are (plural, state)",ch02;toBe,0
Ellos están,They are (maculin state),ch02;toBe,0
Ellas están,They are (feminin state),ch02;toBe,0
Me gusta,I like (singular object),ch02;toLike,0
Me gustan,I like (plural object),ch02;toLike,0
Te gusta,"You like (singular, singular object)",ch02;toLike,0
Te gustan,"You like (singular, plural object)",ch02;toLike,0
Le gusta,He/she likes (singular object),ch02;toLike,0
Le gustan,He/she likes (plural object),ch02;toLike,0
Nos gusta,We like (singular object),ch02;toLike,0
Nos gustan,We like (plural object),ch02;toLike,0
Os gusta,"You like (plural, singular object)",ch02;toLike,0
Os gustan,"You like (plural, plural object)",ch02;toLike,0
Les gusta,They like (singular object),ch02;toLike,0
Les gustan,They like (plural object),ch02;toLike,0
Me,Me (indirect object),ch02;indirectObjectPronouns,0
Te,You (indirect object),ch02;indirectObjectPronouns,0
Le,Him/her (indirect object),ch02;indirectObjectPronouns,0
Nos,Us (indirect object),ch02;indirectObjectPronouns,0
Os,You (plural) (indirect object),ch02;indirectObjectPronouns,0
Les,Les (indirect object),ch02;indirectObjectPronouns,0
Me encanta,Delights me (singular),ch02;toDelight,0
Me encantan,Delights me (plural),ch02;toDelight,0
Te encanta,Delights you (singular),ch02;toDelight,0
Te encantan,Delights you (plural),ch02;toDelight,0
Le encanta,Delights him/her (singular),ch02;toDelight,0
Le encantan,Delights him/her (plural),ch02;toDelight,0
Nos encanta,Delights us (singular),ch02;toDelight,0
Nos encantan,Delights us (plural),ch02;toDelight,0
Os encanta,Delights you (singular),ch02;toDelight,0
Os encantan,Delights you (plural),ch02;toDelight,1
Les encanta,Delights them (singular),ch02;toDelight,0
Les encantan,Delights them (plural),ch02;toDelight,0
Nos encanta la música,The music delights us,ch02;sentences,0
Soy tacaño,I am cheap/stingy,ch02;sentences,0
Ella es deportista,She is sporty,ch02;sentences,0
Nosotros atrevido,We are daring,ch02;sentences,0
Me gustan los coches,I like the cars,ch02;sentences,0
El almuerzo,Lunch,ch03;school,0
El Arte,Art,ch03;school,0
Las ciencias,Science,ch03;school,0
Las ciencias sociales,Social sciences,ch03;school,0
La clase de,Class of,ch03;school,0
La educación fisica,P.E.,ch03;school,0
El español,Spanish,ch03;school,0
El englés,English,ch03;school,0
Las matemáticas,Math,ch03;school,0
La música,Music,ch03;school,0
Dificil,Difficult,ch03;school,0
Fácil,Easy,ch03;school,0
Enseñar,To teach,ch03;school;regVerb,0
La tarea,Homework,ch03;school,0
La hora,Time (the hour),ch03;time,1
Empezar,To start,ch03;time;regVerb,0
Empieza,It starts,ch03;time,0
Terminar,To end,ch03;time;regVerb,0
Termina,It ends,ch03;time,0
¿A qué hora?,At what time?,ch03;time,0
¿A qué hora empieza?,At what time does it start?,ch03;time,0
¿A qué hora termina?,At what time does it finish?,ch03;time,0
Termina a la una,It ends at one,ch03;time,0
Termina a las dos,It ends at two,ch03;time,0
Mediodía,Midday,ch03;time,0
Medianoche,In the middle of the night,ch03;time,0
El semestre,The semester,ch03;time;school,0
El primer selestre,The first semester,ch03;time;school,0
El segundo semestre,The second semester,ch03;time;school,0
La primera semana,The first week,ch03;time;school,0
¿Qué hora es?,What time is it?,ch03;time,0
Es la una,It's one,ch03;time,0
Son las dos,It's two,ch03;time,0
Cuarto,Quarter (15 mins),ch03;time,0
Media,Half hour (30 mins),ch03;time,0
De la mañana,In the morning,ch03;time,0
De la tarde,In the afternoon,ch03;time,1
De la noche,In the evening,ch03;time,0
Son las once y media de la noche,It's 11:30 in the evening,ch03;time,0
Cuarenta,Fourty,ch03;numbers,0
Cincuenta,Fifty,ch03;numbers,0
La agenda,The daily planner,ch03;things;officeSupplies;object,0
El archivador,The filing cabinet,ch03;things;officeSupplies;object,0
La calculadora,The calculator,ch03;things;officeSupplies;object,0
El calendario,The calendar,ch03;things;officeSupplies;object,0
La capeta,The file folder,ch03;things;officeSupplies;object,0
La computadora,The computer,ch03;things;officeSupplies;object,0
El cuaderno,The notebook,ch03;things;officeSupplies;object,0
El diccionario,The dictionary,ch03;things;officeSupplies;object,0
El escritorio,The desk,ch03;things;officeSupplies;object,0
El horario,The schedule,ch03;things;officeSupplies;object,0
El lápiz,The pencil,ch03;things;officeSupplies;object,0
Los lápices,The pencils,ch03;things;officeSupplies,0
El libro,The book,ch03;things;officeSupplies;object,0
El marcador,The marker,ch03;things;officeSupplies;object,0
La mochila,The paperback,ch03;things;officeSupplies;object,0
El papel,The paper,ch03;things;officeSupplies;object,0
La pluma,The pen,ch03;things;officeSupplies;object,0
El bolígrafo,The pen,ch03;things;officeSupplies;object,0
La regla,The ruler/rule,ch03;things;officeSupplies;object,0
La cita,The appointment,ch03;work,0
La escuela,The school,ch03;school;object,0
La reunión,The meeting,ch03;work,0
El trabjo,Work,ch03;work,0
El/La colega,The colleague,ch03;persons;work,0
El/La consejer@,The counselor,ch03;persons;work,0
El/La compañer@,The mate,ch03;persons;work,0
El/La director@,The director,ch03;persons;work;school,1
El/La emplead@,The employee,ch03;persons;work,0
El/La estudiante,The student,ch03;persons;work;school,0
El jefe/La jefa,The boss,ch03;persons;work,0
El/La maestro,The teacher,ch03;persons;work;school,0
El mentor/La mentora,The mentor,ch03;persons;work;school,0
El tutor/La turota,The tutor,ch03;persons;work;school,0
Importante,Important,ch03;Adjective,0
Nos encantan los coches,The cars delight us,ch02;sentences,1
No me gusta tampoco el presidente,I don't like the president either,ch02;sentences,0
La clase es en la mediodía,The class is at midday,ch02;sentences,0
Tu estas infermo,You are ill,ch02;sentences,0
Me encantan los libros,The books delight me,ch03;sentences,0
Nos gusta la casa,We like the house,ch02;sentences,0
Me gusta nadar,I like to swim,ch02;sentences,0
Nos gustan los casas,We like the houses,ch02;sentences,0
Me gusta empezar la clase,I like to start the calss,ch03;sentences,1
Le gusta ensenar,He likes to teach,ch03;sentences,0
Yo estoy en la habitacion,I am in the room,ch02;sentences,0
Les gustan las clases,They like the classes,ch02;sentences,0
Es una clase importante,It's an important class,ch02;sentences,0
A ella no le gusta nacar,She doesn't like to swim,ch02;sentences,0
A el le encanta la musica,The music delights him,ch02;sentences,0
Son las nuave y cuatro,It's 9:15,ch02;sentences,0
La regla esta en la mesa,The ruler is on the table,ch03;sentences,0
nos gusta ver la televicion,We like to watch television,ch02;sentences,0
Me encantan ver la televicion,Watching tv delights me,ch02;sentences,0
La clase termina a las dos,The class ends at two,ch02;sentences,0
El esta guapo,He is handsome,ch02;sentences,0
Me encanta el teatro,The theater delights me,ch02;sentences,0
Yo quiero hacer algo,I want to do something,ch02;sentences,0
Soy callado,I'm quiet,ch02;sentences,0
No me gusta mucho nadar,I don't like to swim very much,ch02;sentences,0
Nosotros son ordenados,We are organized,ch02;sentences,0
Les gustan los gatos,They like the cats,ch02;sentences,0
A mi tampoco me gusta escribar,I don't like to write either,ch02;sentences,0
El es serio,He is serious,ch02;sentences,0
Me gusta pintar la casa,I like to paint the house,ch02;sentences,0
Os gusta mi pelo,You (all) like my hair,ch02;sentences,0
Ellas son seria,They (female) are serious,ch02;sentences,0
Ella es atrevida,She is daring,ch02;sentences,0
Ella es tacana,She is cheap,ch02;sentences,0
El payaso es gracioso,The clown is funny,ch01;sentences,0
Yo nado en el agua,I swim in the water,ch03;sentences,0
De donde es usted?,Where are you from?,ch01;sentences,0
El meastro es muy inteligente,The teacher is very smart,ch03;sentences,0
Feliz de cinco de mayo,Happy cinco de mayo,ch03;sentences,0
El marcador es verde,The marker is green,ch03;sentences,0
La clase es facil,The class is easy,ch03;sentences,0
El lapiz es amarillo,The pencil is yellow,ch03;sentences,1
Ellos son verde,They are green,ch02;sentences,0
Yo tengo nueve pesos,I have nine pesos,ch04;sentences,1
El lapiz es en el escritorio,The pencil is on the table,ch03;sentences,0
Ella esta sentada,She is seated,ch02;sentences,0
Es el veintinueve de enero,It is January 29th,ch02;sentences,0
Yo tengo,I have,ch03;toHave,0
Tú tienes,You have,ch03;toHave,0
Mi,My,ch03;Possesion,0
Tu,Your (singular),ch03;Possesion,0
Su,His/hers/Your (formal),ch03;Possesion,0
Nuestr@,Our,ch03;Possesion,0
Vuestr@,Your (plural),ch03;Possesion,0
Su,Their,ch03;Possesion,0
Mi jefe,My boss,ch03;Possesion;work ,0
Tu jefe,Your boss,ch03;Possesion;work ,0
Nuestro jefe,Our (male) boss,ch03;Possesion;work ,0
Nuestra jefa,Our (female) boss,ch03;Possesion;work ,0
Tengo mis cuardernos en mi mochila,I have my notebooks in my backpack,ch03;sentences,0
Mi nombre es,My name is,ch03;sentences,0
¿cuál es su nombre?,What is his/her name?,ch03;sentences,0
¿Cómo se llame tu jefa?,What is your boss's name?,ch03,0
¿Cuál es el nombre de tu jefa?,What is the name of your boss (female),ch03,0
El apodo,The nickname,ch03,0
El sobrenombre,The nickname,ch03,0
El mote,The nickname,ch03,0
Para,For,ch03,0
Tengo un lápiz para la clase,I have a pencil for the class,ch03;sentences,0
¿Tienes tu computadora para la reunión?,Do you have your computer for the meeting?,ch03;sentences,0
Necesitar,To need,ch03;regVerb,0
Yo necesito,I need,ch03,0
Tú necesitas,You need,ch03,0
Necesito un cuaderno para la reunión,I need a notebood for the meeting,ch03;sentences,0
¿Necsitas una agenda para el trabajo?,Do you need a daily planner for work?,ch03;sentences,0
Much@,A lot of/much,ch03,0
Much@s,A lot of/many,ch03,0
Poc@,A little,ch03,0
Poc@s,A few,ch03,0
¿Tienes mucha tarea?,Do you have a lot of homework?,ch03;sentences,0
¿Tienes muchas plumas?,Do you have a lot of pens?,ch03;sentences,0
Tengo poca tarea,I have a little homework,ch03;sentences,0
Tengo una pluma,I have one pen,ch03;sentences,0
Lo siento,I'm sorry,ch03,0
Lo siento mucho,I'm very sorry,ch03,0
Aquí,Here,ch03,0
Aquí está,Here it is,ch03,0
Allí,There,ch03,0
Allí está,There it is,ch03,0
Favorit@,Favorite,ch03,0
Más,More/most,ch03,0
Menos,Less/fewer/least,ch03,0
De,Of/from,ch03,0
De la escuela,From the school,ch03,0
A,To (direction),ch03,1
A la escuela,To the school,ch03,0
De lunes a viernes,From Monday to Friday,ch03;days,1
Yo hablo,I speak,ch03;toSpeak;verb;conj,0
Tú hablas,You speak,ch03;toSpeak;verb;conj,0
El habla,He speaks,ch03;toSpeak;verb;conj,0
Ella habla,She speaks,ch03;toSpeak;verb;conj,0
Usted habla,You (formal) speak,ch03;toSpeak;verb;conj,0
Nosotros hablamos,We speak,ch03;toSpeak;verb;conj,0
Vosotros habláis,You (plural) speak,ch03;toSpeak;verb;conj,0
Ellos hablan,They speak,ch03;toSpeak;verb;conj,0
Ellas hablan,They speak,ch03;toSpeak;verb;conj,0
Ustedes hablan,You (formal) speak,ch03;toSpeak;verb;conj,0
Yo como,I eat,ch03;toEat;verb;conj,0
Tú comes,You eat,ch03;toEat;verb;conj,0
El come,He eats,ch03;toEat;verb;conj,0
Ella come,She eats,ch03;toEat;verb;conj,0
Usted come,You (formal) eat,ch03;toEat;verb;conj,0
Nosotros comenos,We eat,ch03;toEat;verb;conj,1
Vosotros coméis,You (plural) eat,ch03;toEat;verb;conj,0
Ellos comen,They eat,ch03;toEat;verb;conj,0
Ellas comen,They eat,ch03;toEat;verb;conj,0
Ustedes comen,You (formal) eat,ch03;toEat;verb;conj,0
Vivir,To live,ch03;toLive;verb;conj;regVerb,0
Yo vivo,I live,ch03;toLive;verb;conj,0
Tú vives,You live,ch03;toLive;verb;conj,1
El vive,He lives,ch03;toLive;verb;conj,0
Ella vive,She lives,ch03;toLive;verb;conj,0
Usted vive,You (formal) live,ch03;toLive;verb;conj,0
Nosotros vivimos,We live,ch03;toLive;verb;conj,0
Vosotros vivis,You (plural) live,ch03;toLive;verb;conj,0
Ellos viven,They live,ch03;toLive;verb;conj,0
Ellas viven,They live,ch03;toLive;verb;conj,0
Ustedes viven,"You (plural, formal) live",ch03;toLive;verb;conj,0
Ir,To go,ch04;togo;verb;irregVerb,0
Yo voy,I go,ch04;togo;verb;irregVerb,1
Tú vas,You go,ch04;togo;verb;irregVerb,0
El va,He goes,ch04;togo;verb;irregVerb,0
Ella va,She goes,ch04;togo;verb;irregVerb,1
Usted va,You (formal) go,ch04;togo;verb;irregVerb,0
Nosotros vamos,We go,ch04;togo;verb;irregVerb,1
Vosotros Vais,You (plural) go,ch04;togo;verb;irregVerb,0
Ellos van,They go,ch04;togo;verb;irregVerb,0
Ellas van,They go,ch04;togo;verb;irregVerb,0
Ustedes van,You (plural formal) go,ch04;togo;verb;irregVerb,0
Poder,To be able,ch04;toBeAble;verb;irregVerb,0
Yo pudeo,I am able,ch04;toBeAble;verb;irregVerb,0
Tú puedes,You are able,ch04;toBeAble;verb;irregVerb,0
El puede,He is able,ch04;toBeAble;verb;irregVerb,0
Ella puede,She is able,ch04;toBeAble;verb;irregVerb,0
Usted puede,You (formal) are able,ch04;toBeAble;verb;irregVerb,0
Nosotros podemos,We are able,ch04;toBeAble;verb;irregVerb,0
Vosotros podéis,You (plural) are bable,ch04;toBeAble;verb;irregVerb,0
Ellos pueden,They (masculin) are able,ch04;toBeAble;verb;irregVerb,0
Ellas pueden,They (feminine) are able,ch04;toBeAble;verb;irregVerb,1
Ustedes pueden,"You (plural,formal) are able",ch04;toBeAble;verb;irregVerb,0
Querer,To want,ch04;toWant;verb;irregVerb,1
Yo quiero,I want,ch04;toWant;verb;irregVerb,0
Tú quieres,You want,ch04;toWant;verb;irregVerb,0
El quiere,He wants,ch04;toWant;verb;irregVerb,2
Ella quiere,She wants,ch04;toWant;verb;irregVerb,0
Usted quiere,You (formal) want,ch04;toWant;verb;irregVerb,1
Nosotros queremos,We want,ch04;toWant;verb;irregVerb,0
Vosotros queréis,You (plural) want,ch04;toWant;verb;irregVerb,1
Ellos quieren,They (masculin) want,ch04;toWant;verb;irregVerb,0
Ellas quieren,They (feminine) want,ch04;toWant;verb;irregVerb,0
Ustedes quieren,"You (plural,formal) want",ch04;toWant;verb;irregVerb,0
Yo escucho musica,I listen to music,ch03;sentences,0
¿Te gusta trabajar?,Do you like to work?,ch03;sentences,0
Nosotros llegamos tarde por la cita,We arrived late for the appointment,ch03;sentences,0
La estudiante estudia arte,The student (f) studies art,ch03;sentences,0
Quizas mas tarde,Maybe later,ch03;sentences,0
La clase de matimaticas,Math class,ch03;sentences,0
Nosotros estamos tarde para la cita,We are late for the appointment,ch03;sentences,0
Yo puedo mirar a gatos,I can look at cats,ch03;sentences,0
No tú ni puedes mirar a gatos,No you can not look at cats,ch03;sentences,0
Aqui esta la estudianta con la computadora,Here is the student with the computer,ch03;sentences,0
Quiza Yo hablo espanol,Maybe I speak spanish. ,ch03;sentences,0
Te gusta cerveza?,Do you like beer?,ch03;sentences,0
Son los dos en viernes,It's 2 on a Friday. ,ch03;sentences,0
Yo tengo diecinueve anos hoy!,I am 19 today! ,ch03;sentences,0
El habla de gatos,He talks about cats,ch03;sentences,0
El esta contento,He is happy,ch03;sentences,0
Ellos quieren fiesta,They want to party,ch03;sentences,0
Yo tengo un reunion con mi mentor,I have a meeting with my mentor,ch03;sentences,0
Yo creo en la ciencia,I believe in science,ch03;sentences,0
Yo leo el libro,I read the book,ch03;sentences,0
,The accident is horrible,,0
,The television is big,,0
,The animal is small,,0
,The bicycle is good,,0
,The café is exotic,,0
,The camera is expensive,,0
,The sofa is comfortable,,0
,The crocodile is big,,0
,The dolar is strong,,0
,The family is extrodinary,,0
,The piano is pretty,,0
,The island is exotic,,0
,The restaurant is tasty,,0
,The music is pretty,,0
,The telephone is expensive,,0
,I am daring,,0
,You are artistic,,0
,He is quiet,,0
,She is (plays sports),,0
,we are generous,,0
,You are funny I am imptient,,0
,I am not organized,,0
,I am very lazy,,0
,We are cautious,,0
,They are social,,0
,She is hard working,,0
,We are kind,,0
,They (f) are artistic,,0
,She is cheap,,0
,They (f) are hard working,,0
Me gusta,I like,ch03;personX,0
Te gusta,You like,ch03;personX,0
Le gusta,He likes,ch03;personX,0
Le gusta,She likes,ch03;personX,0
Yo quiero,I want,ch03;personX,0
Tú quieres,You want,ch03;personX,0
El quiere,He wants,ch03;personX,0
Ella quiere,She wants,ch03;personX,0
Yo puedo,I can,ch03;personX,0
Tú puedes,You can,ch03;personX,0
El puede,He can,ch03;personX,0
Ella puede,She can,ch03;personX,0
Yo tengo que,I have to ,ch03;personX,0
Tú tienes que,You have to,ch03;personX,0
El tiene,He has to,ch03;personX,0
Ella tiene,She has to,ch03;personX,0
Yo sé,I know,ch03;personX,0
Tú sabes,You know,ch03;personX,0
El sabe,He knows,ch03;personX,0
Ella sabe,She knows,ch03;personX,0
Yo necesito,I need,ch03;personX,0
Tú necesitas,You need,ch03;personX,0
El necesita,He needs,ch03;personX,0
Ella necesita,She needs,ch03;personX,0
Yo prefiero,I prefer,ch03;personX,0
Tú prefieres,You prefer,ch03;personX,0
El prefiere,He prefers,ch03;personX,0
Ella prefiere,She prefers,ch03;personX,0
Yo voy a,I am going to,ch03;personX,0
Tú vas a,You are going to,ch03;personX,0
El va a,He is going to,ch03;personX,0
Ella va,She is going to,ch03;personX,0
Le gusta estar con amigos,She likes (to) be with friends,personXInf;generated,0
Tú sabes ir al cine,You know (to) go (to) the movies,personXInf;generated,0
Tú prefieres estar con amigos,You prefer (to) be with friends,personXInf;generated,0
El puede escuchar música,He can (to) listen (to) music,personXInf;generated,0
Le gusta ir a la escuela,She likes (to) go (to) school,personXInf;generated,0
Ella prefiere pintar,She prefers (to) paint,personXInf;generated,0
Ella tiene patinar,She has to (to) skate,personXInf;generated,0
Yo sé pintar,I know (to) paint,personXInf;generated,0
Ella necesita patinar,She needs (to) skate,personXInf;generated,0
Ella puede pintar,She can (to) paint,personXInf;generated,0
Ella puede nadar,She can (to) swim,personXInf;generated,0
Yo sé ayudar en casa,I know (to) help around the house,personXInf;generated,0
Yo voy a patinar,I am going to (to) skate,personXInf;generated,0
Yo quiero nadar,I want (to) swim,personXInf;generated,0
El necesita ayudar en casa,He needs (to) help around the house,personXInf;generated,0
Tú vas a estar con amigos,You are going to (to) be with friends,personXInf;generated,0
El va a ir a la escuela,He is going to (to) go (to) school,personXInf;generated,0
Tú necesitas patinar,You need (to) skate,personXInf;generated,0
Le gusta tocar la guitarra,She likes (to) play the guitar,personXInf;generated,0
Te gusta ver la televisión,You like (to) watch tv,personXInf;generated,0
Me gusta patinar,I like (to) skate,personXInf;generated,0
El tiene pintar,He has to (to) paint,personXInf;generated,0
Le gusta nadar,She likes (to) swim,personXInf;generated,0
Tú necesitas trabajar,You need (to) work,personXInf;generated,0
El necesita trabajar,He needs (to) work,personXInf;generated,0
Le gusta nadar,He likes (to) swim,personXInf;generated,0
Ella necesita practica deportes,She needs (to) play sports,personXInf;generated,0
Tú vas a leer,You are going to (to) read,personXInf;generated,0
Tú tienes que ir al cine,You have to (to) go (to) the movies,personXInf;generated,0
